"Overall Rank
(1 = Best)",City,State,Overall Score,Policy Rank,Infrastructure Rank,Pollution Rank,Transportation Rank,Food Production Rank
1,San Francisco,CA,69.81,5,15,64,1,13
55,Virginia Beach,VA,47.46,97,113,16,153,34
56,Huntington Beach,CA,47.26,58,72,144,47,48
57,Providence,RI,46.96,25,146,108,17,150
58,Hayward,CA,46.85,45,32,63,111,135
59,Jacksonville,FL,46.84,86,28,24,168,103
60,Baton Rouge,LA,46.79,80,159,53,113,19
61,Irvine,CA,46.79,58,4,187,71,98
62,Lexington,KY,46.77,166,83,7,14,125
63,Dayton,OH,46.7,134,123,50,58,55
64,Escondido,CA,46.69,45,76,98,139,35
65,Kansas City,MO,46.63,27,7,111,124,151
66,Fremont,CA,46.38,45,71,74,117,74
67,Fayetteville,NC,46.27,139,55,58,160,37
68,Cincinnati,OH,46.19,132,127,89,64,5
69,Greensboro,NC,46.06,139,69,31,154,53
70,Santa Ana,CA,46.04,58,80,140,45,67
71,Augusta,GA,46.01,152,120,15,93,21
72,Norfolk,VA,45.66,97,171,10,62,129
73,Springfield,MO,45.59,146,73,72,84,43
74,Honolulu,HI,45.54,145,170,14,16,132
75,Bellevue,WA,45.52,112,53,106,77,57
76,Milwaukee,WI,45.4,17,153,127,35,183
77,Anaheim,CA,45.28,58,43,141,92,69
78,Raleigh,NC,45.15,139,40,77,152,29
79,Madison,WI,45.04,90,94,112,28,114
80,Fort Wayne,IN,45.01,144,110,13,132,80
81,Mobile,AL,44.86,147,128,20,173,23
82,Fresno,CA,44.82,36,49,148,73,95
83,Newport News,VA,44.64,97,168,17,140,76
84,Huntsville,AL,44.4,147,107,11,171,41
85,Chattanooga,TN,44.35,190,70,12,134,15
86,Tallahassee,FL,44.16,181,39,22,95,75
87,San Antonio,TX,43.95,18,119,174,109,111
88,Ontario,CA,43.85,36,38,143,146,78
89,Toledo,OH,43.78,134,86,28,69,170
90,Akron,OH,43.69,134,145,37,85,82
91,St. Petersburg,FL,43.68,181,100,25,65,56
92,Arlington,VA,43.54,88,114,79,12,187
93,Orange,CA,43.51,58,22,173,105,101
94,Scottsdale,AZ,43.22,82,11,182,90,91
95,Torrance,CA,42.86,45,52,156,133,90
96,Indianapolis,IN,42.79,138,155,51,118,51
97,Savannah,GA,42.78,152,129,85,55,9
98,Tulsa,OK,42.53,34,106,132,78,117
99,Modesto,CA,42.51,58,96,101,137,93
100,Orlando,FL,42.38,181,34,129,56,28
101,Fullerton,CA,42.27,58,46,139,126,118
102,Columbus,GA,42,152,117,4,161,89
103,San Bernardino,CA,41.9,36,54,179,129,64
104,Chula Vista,CA,41.88,45,88,145,147,81
105,Boise,ID,41.84,160,30,86,51,152
106,Fort Lauderdale,FL,41.72,172,176,49,52,40
107,Macon,GA,41.71,152,190,6,165,4
108,Elk Grove,CA,41.52,58,62,146,174,94
109,Springfield,MA,41.4,83,137,97,67,133
110,Rockford,IL,41.4,102,136,93,115,85
111,Oceanside,CA,41.25,45,101,164,144,52
112,Little Rock,AR,41.17,157,151,38,119,22
113,Pomona,CA,41.03,45,95,138,107,120
114,Spokane,WA,41,112,87,96,50,167
115,Tacoma,WA,40.78,112,167,122,96,59
116,Overland Park,KS,40.76,187,13,30,150,119
117,Detroit,MI,40.6,108,173,45,44,184
118,Tempe,AZ,40.49,167,50,167,20,87
119,Montgomery,AL,40.42,147,187,5,172,63
120,Glendale,CA,40.35,45,102,181,70,108
121,Rancho Cucamonga,CA,40.34,36,97,123,169,106
122,Lincoln,NE,40.15,186,44,59,53,148
123,Arlington,TX,40.09,21,79,134,181,168
124,Tucson,AZ,40.05,159,135,100,49,49
125,Garden Grove,CA,39.77,58,105,190,68,86
126,Lubbock,TX,39.74,116,118,62,89,182
127,Clarksville,TN,39.6,190,182,3,191,6
128,Stockton,CA,39.42,58,103,126,141,145
129,Newark,NJ,39.26,74,178,183,25,116
130,Sioux Falls,SD,39.09,151,152,2,116,181
131,Yonkers,NY,38.89,30,163,180,46,154
132,Cape Coral,FL,38.87,181,57,9,180,65
133,Fontana,CA,38.85,36,60,125,176,166
134,Lancaster,CA,38.84,36,17,162,187,175
135,Chesapeake,VA,38.81,97,192,8,189,99
136,Aurora,IL,38.68,102,82,159,142,100
137,Omaha,NE,38.47,176,140,23,76,146
138,Amarillo,TX,37.57,116,162,81,106,169
139,Oklahoma City,OK,37.53,33,90,184,131,142
140,Memphis,TN,37.47,190,165,44,102,68
141,Irving,TX,37.43,116,148,65,128,174
142,Plano,TX,37.32,92,91,137,156,124
143,Bridgeport,CT,37.21,32,184,131,59,185
144,Brownsville,TX,37.05,116,149,99,125,140
145,Cleveland,OH,36.78,132,183,152,31,147
146,Houston,TX,36.69,19,134,194,104,110
147,Santa Clarita,CA,36.35,45,77,191,192,72
148,Colorado Springs,CO,36.33,129,84,118,114,190
149,Wichita,KS,36.18,175,131,34,94,171
150,Albuquerque,NM,36.14,150,142,107,75,123
151,Moreno Valley,CA,36.02,58,121,136,184,139
152,Dallas,TX,35.83,92,143,186,87,109
153,McAllen,TX,35.69,116,124,128,101,158
154,El Paso,TX,35.4,92,104,150,130,177
155,Shreveport,LA,35.2,158,158,80,149,70
156,Jackson,MS,35.18,156,174,95,166,27
157,Corpus Christi,TX,35.07,116,132,163,103,165
158,Kansas City,KS,35.07,187,141,40,151,126
159,Hialeah,FL,34.71,164,191,66,82,50
160,Corona,CA,34.59,58,45,189,190,149
161,Paterson,NJ,34.58,74,172,193,36,172
162,Joliet,IL,34.49,102,181,71,170,180
163,Phoenix,AZ,34.46,165,68,175,81,121
164,Palmdale,CA,34.45,45,58,166,194,186
165,Grand Prairie,TX,34.45,116,126,151,186,131
166,Reno,NV,34.22,177,26,102,80,173
167,Killeen,TX,34.09,116,130,94,155,176
168,Cary,NC,34.05,139,109,113,167,138
169,Naperville,IL,33.75,102,150,178,178,84
170,Aurora,CO,33.64,129,112,172,110,189
171,Mesa,AZ,33.61,167,98,165,97,104
172,Murfreesboro,TN,33.4,190,188,84,182,8
173,Las Vegas,NV,33.37,177,51,147,108,161
174,Midland,TX,33.32,116,194,120,127,144
175,Hollywood,FL,33.24,172,185,66,98,77
176,Port St. Lucie,FL,33.22,181,74,109,193,45
177,McKinney,TX,33.05,116,164,157,185,115
178,Henderson,NV,32.99,177,65,88,148,178
179,Laredo,TX,32.99,116,180,92,135,192
180,Fort Worth,TX,32.8,92,154,160,163,155
181,Frisco,TX,32.51,110,156,135,188,141
182,Chandler,AZ,31.93,162,66,168,122,159
183,Anchorage,AK,31.61,194,144,76,83,194
184,North Las Vegas,NV,31.43,177,116,87,145,179
185,Garland,TX,30.89,116,166,149,158,188
186,Olathe,KS,30.18,187,157,54,157,127
187,Pasadena,TX,30.03,110,189,185,121,156
188,Glendale,AZ,29.79,167,122,176,112,157
189,Gilbert,AZ,29.3,167,85,169,159,163
190,Thornton,CO,28.91,129,133,177,162,193
191,Miramar,FL,28.01,163,193,66,183,113
192,Pembroke Pines,FL,28,172,186,66,179,112
193,Mesquite,TX,25.73,116,169,188,177,191
194,Peoria,AZ,22.47,167,147,192,175,153

